p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
2.46926326940426e-29	-0.266953751235199	0.057	0.186	4.85802855622594e-25	SLAMF7
2.85081859646294e-29	0.325496334531211	0.566	0.36	5.60870050668119e-25	PTPRO
3.64375877043895e-29	-0.161275688048026	0.075	0.223	7.16873100496159e-25	C11orf21
1.18346132226346e-28	-0.308930198175289	0.129	0.294	2.32834180542114e-24	PIK3AP1
1.24441484860832e-28	-0.357183915402636	0.409	0.589	2.44826177315201e-24	ITGAE
5.47305790093596e-28	0.331684469084362	0.428	0.222	1.07676941143014e-23	FBLN7
7.30629144561465e-28	-0.27559617844396	0.317	0.532	1.43743977901023e-23	IKZF2
9.52148159841788e-28	0.296922512834822	0.667	0.492	1.87325628967273e-23	RNASET2
5.21339962374761e-27	-0.149752034932499	0.039	0.15	1.02568424197611e-22	KNCN
7.4150840179793e-27	-0.19284522308639	0.068	0.2	1.45884362969725e-22	NCR2
7.95733595642667e-27	0.254118828956099	0.878	0.755	1.56552627606738e-22	ARID5B
1.30052543656958e-26	-0.278002258810643	0.775	0.872	2.55865374390699e-22	P2RY8
2.29808246588031e-26	0.315021982560431	0.814	0.651	4.52124744337291e-22	LDLRAD4
2.42270520272387e-26	0.329361195952477	0.537	0.32	4.76643021583895e-22	PALM2-AKAP2
4.01555952858341e-26	0.299801876132976	0.846	0.667	7.900211816535e-22	TIAM1
4.66505525049008e-26	-0.388358993337248	0.328	0.512	9.17802969981419e-22	BHLHE40
6.3805800719029e-26	-0.334242142769051	0.495	0.665	1.25531532334618e-21	FAM179A
6.42936453834675e-26	-0.319705083599982	0.48	0.642	1.26491317927434e-21	PCNT
5.39386429538739e-25	0.286976570942066	0.726	0.586	1.06118886147452e-20	TLK1
7.61369743648265e-25	-0.313010916693064	0.465	0.637	1.4979188336536e-20	MVB12B
1.44833184452333e-24	-0.309063327893905	0.656	0.761	2.84944807091519e-20	RIN3
1.80923413785725e-24	-0.25864203035377	0.647	0.775	3.55948724282035e-20	GSE1
2.16389676833911e-24	-0.151615850848098	0.071	0.199	4.25725050203036e-20	DAB2IP
2.44611991434604e-24	-0.264606653161137	0.095	0.23	4.81249631948441e-20	MMP24
2.73857313888673e-24	-0.233640486939641	0.129	0.282	5.38786879344576e-20	F2R
5.03101868728162e-24	-0.2562514154093	0.185	0.355	9.89802616535786e-20	EHF
5.85562215582845e-24	-0.335826794079671	0.575	0.725	1.15203510293769e-19	PLEKHA2
6.28068803437483e-24	0.300586892885161	0.584	0.404	1.23566256388291e-19	SLC22A23
1.10420826788145e-23	-0.326856538431382	0.468	0.652	2.17241934622996e-19	AUTS2
1.10987115857329e-23	-0.329816383016582	0.442	0.608	2.18356051737709e-19	SPON2
1.71595754563124e-23	-0.30371993864212	0.639	0.777	3.3759748752749e-19	FOSL2
1.98920563234488e-23	-0.281110886821944	0.7	0.805	3.91356316107532e-19	STAT4
2.23403202143371e-23	-0.289779429584946	0.609	0.767	4.39523459896868e-19	MED12L
2.31547219100671e-23	-0.330442681917986	0.189	0.353	4.55545998858661e-19	JAKMIP1
4.1049703892411e-23	0.249491393207351	0.863	0.74	8.07611874379295e-19	SERINC5
6.25204573658354e-23	-0.334435883097804	0.275	0.459	1.23002747821544e-18	WDR86
6.92092073793481e-23	-0.285610483446002	0.458	0.623	1.3616219459813e-18	JMJD6
6.93831485475538e-23	-0.127149876750845	0.032	0.125	1.36504406452457e-18	GATA6
9.33433619896191e-23	-0.194479985428509	0.075	0.198	1.83643730378377e-18	PLEK
1.73209396988798e-22	-0.299000243298516	0.581	0.728	3.40772167635761e-18	PPP1R16B
2.72655513912499e-22	-0.125368460020546	0.029	0.118	5.3642245807145e-18	RIN1
3.39557424423215e-22	-0.146098413873943	0.058	0.17	6.68045276810233e-18	ENPP5
4.50342654032662e-22	-0.113252120146163	0.037	0.133	8.8600413754386e-18	RTP5
1.31540849233602e-21	-0.21408166584337	0.181	0.338	2.58793466782188e-17	APOL3
2.39436229039706e-21	-0.245007086451356	0.182	0.343	4.71066837012717e-17	RASGEF1A
2.55761446645971e-21	-0.316017067643942	0.282	0.449	5.03185070131282e-17	MCTP2
3.01471792646668e-21	-0.202523062855917	0.09	0.217	5.93115604853054e-17	HPGD
4.90706950052758e-21	0.261556023569702	0.738	0.568	9.65416853533797e-17	PARD3B
1.81629091384475e-20	-0.292642855973809	0.648	0.748	3.57337074389816e-16	RAB27A
3.41474717776496e-20	-0.149793768726474	0.114	0.25	6.71817359753479e-16	TSPAN32
7.77346242701029e-20	-0.276808841013629	0.642	0.758	1.52935099789e-15	NELL2
9.33533087111203e-20	0.212746401179058	0.901	0.849	1.83663299558258e-15	ELMO1
1.35716023282701e-19	-0.259009437181684	0.093	0.213	2.67007704206385e-15	GLIS1
2.04970707409165e-19	-0.160625164110346	0.073	0.184	4.03259369756791e-15	GML
2.10400360408932e-19	0.270463052630404	0.893	0.846	4.13941669068533e-15	FHIT
2.11661867473301e-19	-0.25385751254502	0.275	0.437	4.16423558066972e-15	TPST2
3.64857893972392e-19	-0.236268526929621	0.19	0.339	7.17821420601283e-15	CXXC5
4.01447784210794e-19	-0.226205968312714	0.537	0.707	7.89808370656316e-15	ACOXL
4.3393400571625e-19	-0.132277049584579	0.083	0.202	8.53721762846151e-15	GPR35
4.48996011677887e-19	-0.197226868379627	0.159	0.305	8.83354753375075e-15	EOMES
6.84182447543523e-19	-0.242351887456071	0.218	0.368	1.34606054729713e-14	NT5E
8.89493433651603e-19	-0.221591619713476	0.86	0.921	1.74998938136616e-14	NR4A2
1.11847513760065e-18	0.263867753977675	0.83	0.726	2.20048798571551e-14	CD247
1.89536923764206e-18	-0.200295859453579	0.334	0.524	3.72894943813699e-14	LMO4
2.03633835367195e-18	-0.249920277594818	0.153	0.287	4.00629207701419e-14	STYK1
3.36847371336427e-18	-0.262731305167389	0.432	0.581	6.62713518367287e-14	PDE4A
4.89972332010274e-18	-0.234488886425455	0.136	0.263	9.63971565997014e-14	TMEM247
5.13865622625558e-18	-0.236680366256946	0.276	0.426	1.01097922595352e-13	LPCAT1
6.52122532451983e-18	0.264810300136911	0.454	0.304	1.28298587034603e-13	MFHAS1
9.22285573145492e-18	-0.279098802378188	0.529	0.656	1.81450463660644e-13	IL21R
9.46280274957664e-18	0.235217471709356	0.694	0.559	1.86171181295171e-13	IL6ST
1.02384310427973e-17	-0.280879754132635	0.491	0.612	2.01430892335995e-13	PRR5
1.34107913768807e-17	-0.230471350438406	0.261	0.416	2.63843909548751e-13	PRR5L
1.36245345708656e-17	0.21909013605791	0.556	0.393	2.6804909314721e-13	APP
1.45433862033501e-17	-0.183965213166813	0.203	0.35	2.8612658016471e-13	ZFR2
2.54381161832393e-17	-0.141910672855873	0.089	0.202	5.0046949778905e-13	LATS2
2.5987336221285e-17	-0.265646396830343	0.351	0.496	5.11274852817561e-13	PSTPIP1
2.80103274303259e-17	-0.22368786178059	0.269	0.418	5.51075181864231e-13	N4BP3
2.96580374896767e-17	-0.239584401938459	0.337	0.488	5.834922295719e-13	RXRA
4.77533002273863e-17	-0.309004496097263	0.398	0.562	9.39498428673598e-13	PLXNA4
5.68673512070741e-17	-0.267540272163799	0.454	0.594	1.11880826764798e-12	ITPK1
5.73508004011526e-17	0.223476505288804	0.361	0.208	1.12831964709228e-12	WNT7A
6.26056385107492e-17	0.227949106008249	0.424	0.264	1.23170333206048e-12	ARRDC4
6.60332167552737e-17	0.145617940046675	0.35	0.208	1.29913750644325e-12	EDAR
8.11627852798987e-17	-0.108661817758036	0.029	0.103	1.59679663759673e-12	CLIC3
8.36509627308575e-17	-0.216977880864759	0.335	0.499	1.64574904076689e-12	IL2RB
9.3947899994271e-17	-0.285993328681576	0.31	0.456	1.84833098448729e-12	D2HGDH
1.11699432246897e-16	0.216155213770842	0.451	0.302	2.19757463002545e-12	TMEM45B
1.11785907775904e-16	-0.107719847506879	0.059	0.154	2.19927594958313e-12	SOAT2
1.28258052481608e-16	-0.143629543877102	0.068	0.165	2.52334892452316e-12	ZNF541
1.7136626347989e-16	0.236677848307487	0.328	0.185	3.37145986770335e-12	CTLA4
1.96039911419663e-16	-0.203774596932517	0.123	0.242	3.85688921727046e-12	TLE1
4.33952437395951e-16	0.210151262666916	0.49	0.347	8.53758025332794e-12	TARBP1
4.34224083027246e-16	-0.300762629550736	0.381	0.524	8.54292460947803e-12	SPIDR
4.93467991320149e-16	-0.168453975445583	0.12	0.239	9.70848926123261e-12	ZNF22
5.04956251324206e-16	-0.258473878450029	0.432	0.573	9.93450928855244e-12	FYCO1
7.58089548270535e-16	-0.145846737540852	0.099	0.208	1.49146537726745e-11	PRSS3
9.37640974474597e-16	0.242499524745727	0.672	0.549	1.84471485318132e-11	CRTC3
9.43967405814092e-16	-0.2171296093795	0.266	0.416	1.85716147419864e-11	ADRB2
1.03671424991061e-15	-0.169660194699854	0.224	0.364	2.03963161527414e-11	CD248
1.26339907827254e-15	-0.298014662029005	0.356	0.489	2.48561134659339e-11	SLC7A5
1.28470250003819e-15	-0.204128081867792	0.084	0.183	2.52752369857513e-11	LMX1B
1.38348111746541e-15	0.23342090445394	0.802	0.727	2.72186075050146e-11	RERE
1.69678572757285e-15	-0.226464203898582	0.232	0.364	3.33825624042683e-11	B4GALT5
1.93721356127174e-15	-0.123553700401626	0.035	0.108	3.81127396044602e-11	S1PR5
2.79477704494987e-15	-0.206575842225796	0.911	0.92	5.49844435823437e-11	PIP4K2A
3.59254736401136e-15	0.244219589113427	0.663	0.556	7.06797768395595e-11	LIMS1
4.03169787337312e-15	-0.246570062551735	0.489	0.621	7.93196239607428e-11	NHSL2
5.49639919337612e-15	-0.0878403311200314	0.043	0.121	1.08136157730482e-10	HLA-DOA
5.75658022494934e-15	0.167504589533534	0.659	0.512	1.13254959345653e-10	PTPRN2
6.15366549944134e-15	0.169146175308359	0.97	0.931	1.21067215036009e-10	FOXP1
6.32328920421097e-15	-0.142949905192755	0.119	0.233	1.24404391803647e-10	DBN1
6.41425194469755e-15	0.1896367454911	0.255	0.125	1.2619399275998e-10	PRG4
6.79522965465892e-15	0.188774833083238	0.861	0.748	1.3368934822576e-10	CSGALNACT1
8.04784319799098e-15	-0.233052935421231	0.345	0.481	1.58333267077275e-10	ZC3H18
8.42505626581007e-15	0.186999308706092	0.213	0.094	1.65754556973547e-10	C12orf56
9.96970582280084e-15	0.182413108982593	0.949	0.92	1.96143992357784e-10	HIVEP2
1.02099158463143e-14	-0.215593573792387	0.701	0.776	2.00869884360387e-10	HMBOX1
1.18479085271513e-14	0.203410352750982	0.552	0.422	2.33095752363175e-10	TRIM2
1.19652017842235e-14	-0.242197771642744	0.205	0.33	2.35403379902813e-10	GGA2
1.22270633584042e-14	-0.219607837570636	0.618	0.731	2.40555244513245e-10	TBCD
1.38222971059482e-14	-0.106195010700674	0.054	0.138	2.71939873262425e-10	LAG3
1.58182809802444e-14	-0.175235932793344	0.146	0.263	3.11208860005328e-10	ETV1
1.61255181491806e-14	-0.2522438469607	0.367	0.492	3.17253444066979e-10	MMP24-AS1
1.71290908946852e-14	0.201329190522561	0.42	0.278	3.36997734262036e-10	SPG20
1.78356483459441e-14	0.197749451554313	0.281	0.149	3.50898545558104e-10	PDE8B
2.17146165336333e-14	-0.192416281756349	0.189	0.317	4.27213365682701e-10	ARHGEF4
2.57728960401145e-14	-0.309429184736996	0.26	0.379	5.07055956693212e-10	GYG1
3.5136561742167e-14	0.184514292669966	0.801	0.651	6.91276715715393e-10	LEF1
4.63628527953853e-14	0.219358985941166	0.656	0.517	9.12142765896411e-10	CHRM3
4.94139422264376e-14	-0.219348579559516	0.759	0.825	9.72169899362934e-10	PPP3CA
5.60521149237637e-14	-0.244732322026606	0.33	0.462	1.10276930901013e-09	PRR5-ARHGAP8
6.35613589993372e-14	-0.205506262686188	0.627	0.735	1.25050617695296e-09	LITAF
6.44305829572175e-14	-0.118784134069245	0.084	0.181	1.2676072891003e-09	MATK
6.97390248154011e-14	-0.132498001046705	0.105	0.209	1.3720455742182e-09	SEZ6
7.92235537103371e-14	0.247982880358224	0.624	0.511	1.55864419569717e-09	ATP10A
8.02539121620836e-14	-0.307532909159866	0.652	0.75	1.57891546787683e-09	SORL1
8.59632876322744e-14	0.199088295318169	0.552	0.409	1.69124172087737e-09	ZC3H12D
8.75361097042848e-14	0.177118944994229	0.439	0.28	1.7221854223221e-09	MAF
1.16581722059352e-13	-0.191445052028925	0.325	0.471	2.29362879979569e-09	ADAM22
1.2021108139555e-13	-0.11025287569824	0.034	0.101	2.36503281537606e-09	PTGDR
1.2129287491873e-13	-0.24619939053463	0.165	0.28	2.38631602115109e-09	LZTS1
1.25304695197108e-13	-0.186799686557137	0.835	0.894	2.4652445733079e-09	ST3GAL1
1.32235287436804e-13	-0.234999439598526	0.218	0.342	2.60159704503168e-09	SORCS2
1.72717410830004e-13	-0.188573564018381	0.351	0.484	3.39804234066951e-09	ADAP1
2.02489941260803e-13	-0.129751483492172	0.118	0.228	3.98378710436504e-09	NSG1
2.06831400668801e-13	0.212452030458742	0.385	0.252	4.06920097675799e-09	LY86
2.27171444925972e-13	-0.111628172566481	0.08	0.173	4.46937100747357e-09	KRTAP12-4
2.51883173654859e-13	-0.350936968289965	0.679	0.746	4.95554955848569e-09	ZBTB16
2.67182884427442e-13	0.190930213790534	0.577	0.454	5.25655606822549e-09	ARHGEF6
2.69917963252096e-13	-0.231552928672021	0.422	0.556	5.31036600902173e-09	RPAP2
2.70677079514824e-13	0.21625157491566	0.42	0.287	5.32530086237465e-09	ISM1
3.50170655910543e-13	-0.152798388591807	0.174	0.297	6.88925748438403e-09	SPRY1
4.45537957948264e-13	-0.220902772191632	0.365	0.503	8.76551378467415e-09	BANK1
4.67525566295159e-13	-0.178170565039958	0.365	0.502	9.19809799129096e-09	MAP2K2
4.73667886258977e-13	-0.177549014748088	0.189	0.313	9.31894199425912e-09	SNTG2
4.77211393077505e-13	-0.113078405845085	0.116	0.222	9.38865694740684e-09	ADGRG5
5.65190246940255e-13	-0.140760048280385	0.05	0.125	1.11195529183026e-08	MSC
6.74138562724436e-13	-0.140693200926454	0.156	0.269	1.32630020830406e-08	KIFC3
1.06581323880874e-12	-0.114200657309125	0.1	0.195	2.09688096603232e-08	FAM173A
1.60939914965098e-12	-0.251513129308705	0.286	0.407	3.16633188702333e-08	PLXND1
1.66443412827379e-12	-0.23656596790146	0.295	0.422	3.27460770396586e-08	KLHDC4
1.67061452780125e-12	0.0710003483400985	0.631	0.482	3.28676702199618e-08	FMN1
1.93244121707778e-12	-0.164671975052979	0.142	0.25	3.80188485047882e-08	LYPD6B
2.16091723370188e-12	-0.16619756751988	0.314	0.453	4.25138856558509e-08	PROSER1
2.17290462190312e-12	-0.192847845120087	0.643	0.733	4.2749725531322e-08	TRERF1
2.18052120853198e-12	-0.18444515636944	0.267	0.392	4.28995742566582e-08	CPVL
2.27911242896314e-12	-0.206889871047516	0.319	0.443	4.48392579274207e-08	TNFRSF1A
2.90598947670707e-12	0.142357843797865	0.887	0.824	5.71724369647349e-08	HECW2
3.29046501948875e-12	-0.0837538277109636	0.081	0.17	6.47366087934217e-08	ACRC
3.32448831149283e-12	0.173787575535336	0.84	0.726	6.540598304031e-08	IMMP2L
3.52854385302133e-12	-0.216549053083267	0.707	0.782	6.94205717643417e-08	NR4A3
4.10991027166925e-12	-0.152123277195246	0.074	0.158	8.08583746848208e-08	SEMA7A
4.35416254579734e-12	0.159491534756407	0.615	0.487	8.56637939260169e-08	VOPP1
4.35958872258811e-12	-0.166154564564222	0.128	0.228	8.57705485281984e-08	OASL
4.65587402057367e-12	0.18976583128539	0.727	0.646	9.15996654807665e-08	CD6
4.83054823872994e-12	-0.236046549015255	0.761	0.817	9.50362060487728e-08	AKNA
5.08288393595578e-12	-0.156170811018519	0.097	0.189	1.00000658555994e-07	CIITA
5.56050905210363e-12	0.158366270675492	0.653	0.498	1.09397455091087e-07	KLF7
6.21975628352635e-12	0.149648591846609	0.787	0.71	1.22367485122097e-07	CHD7
6.34441746503147e-12	0.181005923991094	0.822	0.71	1.24820069207029e-07	SNX9
8.27263572013264e-12	-0.183871317587625	0.248	0.364	1.6275583515789e-07	LYAR
8.63353407699608e-12	-0.204275049849779	0.492	0.602	1.69856149430821e-07	ATP6V1E2
9.96543024445737e-12	0.169031422698172	0.325	0.202	1.96059874629454e-07	ESR1
1.00665046947086e-11	0.171639035528499	0.316	0.195	1.98048413363697e-07	KLHL29
1.13923539317501e-11	0.188539945657497	0.545	0.432	2.24133171253251e-07	CMTM8
1.3607585573387e-11	0.188427993170483	0.355	0.237	2.67715638570815e-07	AKR1E2
1.40340235198457e-11	-0.243960203263132	0.327	0.439	2.76105378729444e-07	ERGIC1
1.41763876277809e-11	-0.163579791375808	0.43	0.553	2.78906250188962e-07	AOAH
1.53943903020173e-11	0.171033638012305	0.363	0.24	3.02869234801887e-07	ULK2
1.6874884503487e-11	0.184813808288081	0.371	0.24	3.31996477721604e-07	AKAP2
1.71468508612062e-11	0.166436540878989	0.323	0.207	3.37347143843371e-07	LPAR6
1.87469311255535e-11	-0.162458038308039	0.201	0.315	3.6882712296414e-07	SOBP
2.41646191618351e-11	0.196993872987774	0.639	0.537	4.75414717389945e-07	SNX29
2.67927689569874e-11	-0.217172040519633	0.684	0.737	5.27120936459771e-07	TGFB1
2.83009614736404e-11	-0.114795128856461	0.07	0.148	5.56793116032401e-07	TNFRSF9
3.08971985097667e-11	0.179514203045306	0.552	0.422	6.07871483481149e-07	SETD7
3.54508483129746e-11	0.194982798006341	0.39	0.273	6.97459989709462e-07	CLMP
3.65698714193501e-11	-0.164342720999727	0.802	0.879	7.19475650304295e-07	C5orf56
3.77143554123772e-11	0.195305795255423	0.666	0.546	7.41992228383109e-07	ST8SIA1
3.84954975223354e-11	-0.128829121837122	0.152	0.254	7.57360418254427e-07	CELSR1
4.3069543759716e-11	-0.0878604585984821	0.047	0.114	8.47350203928653e-07	CXCR3
5.2319244276957e-11	-0.138098921613062	0.245	0.372	1.02932881190485e-06	IVD
5.26236354562834e-11	-0.174886156797066	0.174	0.28	1.03531740396692e-06	FXYD6-FXYD2
5.3571311942786e-11	0.172040309091809	0.606	0.497	1.05396199116237e-06	KIAA0355
5.5468652616594e-11	0.188259224825625	0.745	0.661	1.09129027157887e-06	VMP1
5.65579319148294e-11	-0.151638263662298	0.167	0.27	1.11272075249235e-06	SPTBN5
6.02306645243585e-11	0.194712700429252	0.32	0.203	1.18497809385223e-06	PSD3
7.6290933278267e-11	-0.161237102996726	0.109	0.2	1.50094782131662e-06	MYO7A
7.88628954068486e-11	-0.136570541170936	0.302	0.432	1.55154860423434e-06	NHLRC3
8.78104949750854e-11	-0.137407172143209	0.119	0.212	1.72758367813983e-06	IL20RA
9.0243117039293e-11	0.189609131926448	0.548	0.449	1.77544308463105e-06	PIGC
9.03606169026437e-11	0.164143204358231	0.635	0.521	1.77775477694261e-06	RTKN2
9.22877601793879e-11	-0.18538279928463	0.207	0.312	1.81566939376928e-06	TBX21
9.61701837008625e-11	0.176949418581526	0.581	0.471	1.89205219413077e-06	AXIN2
1.04616304276559e-10	0.186985823643622	0.729	0.642	2.05822117033701e-06	IGF1R
1.04969148512304e-10	-0.189953511979598	0.368	0.492	2.06516302783107e-06	CHST12
1.19523978293791e-10	-0.200705118771832	0.465	0.577	2.35151474895205e-06	CDYL
1.36347814613592e-10	-0.183906932772785	0.404	0.527	2.6825069047078e-06	DAPK2
1.52582021062829e-10	0.194442409760685	0.628	0.548	3.0018986823901e-06	ETV6
1.5580887495601e-10	0.194707995251834	0.756	0.677	3.06538380588454e-06	MAN1C1
1.65646685547486e-10	-0.110576410471469	0.195	0.309	3.25893289146124e-06	TRIM36
1.67954631599245e-10	-0.142692993483145	0.075	0.149	3.30433942208354e-06	TMEM132C
1.71939541208139e-10	-0.150617857562932	0.284	0.412	3.38273853372893e-06	TCF7L2
1.73201199199249e-10	0.152338743291928	0.315	0.205	3.40756039304602e-06	C5orf67
1.75636880040053e-10	-0.124931062397355	0.135	0.23	3.455479977908e-06	RTN4R
1.93762907463143e-10	-0.217510856872264	0.198	0.299	3.81209144142988e-06	IL12RB2
1.94849271499733e-10	0.160085522910502	0.669	0.568	3.83346456748574e-06	TCP11L2
1.95988112105201e-10	0.168980471040597	0.729	0.633	3.85587011755773e-06	CKAP4
1.96034941886412e-10	-0.188892898914202	0.568	0.67	3.85679144667327e-06	MAN1A1
2.05267831002272e-10	-0.146467142544209	0.085	0.164	4.03843930713871e-06	RP11-506B6.7
2.08674366118446e-10	-0.138514736044108	0.223	0.338	4.10545947901431e-06	PLEKHA5
2.08879826301805e-10	0.148043404977001	0.509	0.383	4.10950170266171e-06	OXR1
2.16357575431108e-10	-0.124278965416391	0.199	0.304	4.25661893903162e-06	SLC4A4
2.20003266232716e-10	0.162963110568665	0.753	0.68	4.32834425986245e-06	IFT122
2.30910731912642e-10	-0.2070861985959	0.169	0.272	4.54293773964931e-06	LGR6
2.49352102782071e-10	-0.190021905987291	0.432	0.533	4.90575327013446e-06	AGBL3
2.73881238750581e-10	0.182656030228854	0.541	0.436	5.38833949117894e-06	CD5
3.0343562850749e-10	-0.191898718717043	0.34	0.452	5.96979255525635e-06	PNPLA7
3.23449985361187e-10	0.167987145868895	0.552	0.443	6.36355501199599e-06	SLC45A4
3.28944510879773e-10	-0.122014184906758	0.235	0.354	6.47165430704866e-06	FKBP11
3.39917038898057e-10	0.201531767904558	0.552	0.459	6.68752782328038e-06	CBL
3.76173902310806e-10	0.151087295349898	0.284	0.178	7.40084535406279e-06	CAMSAP2
3.79750889025904e-10	-0.213444552240091	0.286	0.398	7.47121899069563e-06	GAB3
4.14193385613566e-10	0.154666247163341	0.381	0.265	8.1488406685613e-06	PKIA
4.56535273814184e-10	-0.188972097274124	0.625	0.702	8.98187497702026e-06	CUBN
5.31158163435575e-10	0.171497123588849	0.594	0.494	1.04500057074315e-05	CTD-2535L24.2
5.91304832130768e-10	-0.157996023364591	0.085	0.161	1.16333312673407e-05	DOCK5
7.43861600186397e-10	-0.0894475546324668	0.07	0.141	1.46347331220672e-05	CX3CR1
7.4765191638112e-10	-0.18739806406676	0.49	0.603	1.47093038028821e-05	RGS3
7.5367918819695e-10	-0.172601926771608	0.697	0.751	1.48278843485868e-05	ATP8A1
7.98350006612429e-10	0.202407970240977	0.559	0.459	1.57067380300929e-05	LMO7
8.56003565415239e-10	-0.183622921276027	0.397	0.513	1.68410141459794e-05	MAPK1
8.91627825061096e-10	0.155484886070323	0.614	0.518	1.7541885830252e-05	HIPK2
8.91699858784667e-10	0.183782699726363	0.563	0.454	1.75433030217295e-05	AK5
9.47463928228393e-10	-0.0794403035415251	0.082	0.159	1.86404053239654e-05	LRRN1
1.00314350910129e-09	-0.0804438045058829	0.075	0.149	1.97358453980588e-05	SCRN1
1.04126645073505e-09	0.119812509027565	0.74	0.658	2.04858761517613e-05	WHSC1L1
1.05311037793666e-09	0.188457524995609	0.297	0.195	2.07188935755258e-05	CALD1
1.05446426037563e-09	-0.154987376124232	0.457	0.569	2.07455298586301e-05	SNAP47
1.05647453253252e-09	-0.17299693912584	0.415	0.518	2.07850799530449e-05	SSBP4
1.06565099968148e-09	-0.163855916696484	0.37	0.483	2.09656177677334e-05	GFOD1
1.17411213644308e-09	-0.179661706072426	0.184	0.282	2.30994821723811e-05	SLC15A4
1.21487030487651e-09	0.147497865262411	0.623	0.533	2.39013583781404e-05	SUB1
1.21605269982156e-09	-0.0865763266039079	0.093	0.171	2.39246208162894e-05	GZMM
1.27474094351854e-09	-0.133207282750847	0.166	0.262	2.50792533227837e-05	CYBA
1.28428204022345e-09	0.16995929413239	0.518	0.403	2.52669648593562e-05	PIP5K1B
1.29883611495026e-09	0.147136538380361	0.483	0.379	2.55533017255313e-05	ZPLD1
1.41868069998502e-09	0.138396141393429	0.323	0.217	2.79111240915052e-05	MAPK10
1.54188116417007e-09	0.141529482722609	0.578	0.487	3.0334970023882e-05	RBL1
1.60240035897525e-09	-0.102354711301481	0.095	0.174	3.1525624662479e-05	RP11-1021N1.1
1.72629459509974e-09	-0.101789219688884	0.061	0.128	3.39631198639923e-05	MZB1
1.75374113927337e-09	0.177350699530966	0.547	0.449	3.45031031740643e-05	PTK2
