p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
4.01661575805834e-10	-0.736676639674845	0.376	0.597	7.98945040435384e-06	PAM
4.50856827593012e-10	-0.534310766631376	0.5	0.72	8.96799315765261e-06	MAN1A1
4.86673768099903e-10	-0.519273148369795	0.192	0.403	9.68042792127517e-06	PLCG2
5.42872681205337e-10	-0.782971291613804	0.283	0.512	1.07982805018554e-05	PCNT
5.96847009585171e-10	0.541885842399546	0.659	0.431	1.18718838676586e-05	ANK3
5.97967181374507e-10	-1.66070122231595	0.053	0.213	1.18941652047203e-05	CCL5
6.52628101056807e-10	1.07329605236999	0.442	0.194	1.2981425558121e-05	TMEM45B
7.09712428002972e-10	-0.505599923120435	0.288	0.54	1.41168899054071e-05	DAPK2
7.36367326441506e-10	-0.415748129844304	0.402	0.654	1.4647082490248e-05	PREX1
8.33930666008168e-10	-0.778487000591185	0.124	0.322	1.65877148775685e-05	SLC15A4
1.63929235921054e-09	-1.00925574970156	0.149	0.36	3.26071643170569e-05	CST7
1.66255206061594e-09	-1.04809034241875	0.162	0.37	3.30698230377117e-05	RASGEF1A
1.87857396049724e-09	-0.785109354524094	0.149	0.355	3.73667146482507e-05	AP1S3
2.06562076776291e-09	-1.39274992216232	0.023	0.152	4.1087262691572e-05	CCL18
2.77572257320787e-09	-0.955196501611379	0.194	0.412	5.52118977036777e-05	LGR6
2.96420936457394e-09	-0.884602799103933	0.098	0.275	5.89610884707402e-05	FHAD1
3.13669240347388e-09	0.421651012013033	0.891	0.82	6.23919485974989e-05	INPP4B
3.14159938501955e-09	-0.725839506059398	0.096	0.275	6.24895533674238e-05	DOCK5
4.58499893850431e-09	-1.13852333247082	0.068	0.232	9.12002138857891e-05	GLIS1
4.63929854744187e-09	-0.388172860402384	0.482	0.706	9.22802874071662e-05	PLXNA4
4.72313966320869e-09	-0.521013479215989	0.152	0.346	9.3947971040884e-05	SLC4A4
8.23422466830993e-09	-0.693225264849477	0.134	0.322	0.000163786962877353	GGA2
8.55292804830874e-09	0.929383304140535	0.381	0.156	0.000170126291808909	GPR183
1.01286337168756e-08	-0.847739016752141	0.126	0.308	0.000201468653262373	ME3
1.01347618078718e-08	0.291948650198188	0.841	0.768	0.000201590547120377	FHIT
1.33824617091818e-08	-0.550337089306922	0.066	0.223	0.000266190545857335	CIITA
1.94177193695795e-08	-0.472119165171267	0.444	0.673	0.000386237855980305	PPP3CC
2.10453377783252e-08	-0.606444337974576	0.356	0.555	0.000418612813748667	SPON2
2.29330890432114e-08	-0.698890887076859	0.162	0.355	0.000456162074158517	MYO1F
2.51158422352418e-08	-0.973559775446302	0.104	0.28	0.000499579217901194	C10orf99
2.65195567449168e-08	0.897794815704889	0.207	0.038	0.000527500503213141	FAAH2
2.720628465256e-08	-1.21947805526126	0.03	0.156	0.000541160208024071	S1PR5
2.98941531772886e-08	0.870652044942044	0.371	0.161	0.000594624600849447	ADTRP
3.18431272839522e-08	-1.20783896503546	0.045	0.185	0.000633391644805094	RTP5
4.28302917680866e-08	-1.18675097692376	0.035	0.161	0.00085193733355901	MSC
4.57234506289793e-08	1.01854945984042	0.298	0.104	0.000909485156461028	MB21D2
4.81701304527785e-08	-0.602348763742927	0.184	0.384	0.000958152064836217	TPST2
4.83607468572435e-08	0.340737225454697	0.818	0.645	0.000961943615737431	IMMP2L
5.32859623733383e-08	0.630842490925278	0.52	0.313	0.00105991107756807	SLC22A23
5.87462486546354e-08	-0.56590460949728	0.028	0.147	0.00116852163198935	ITGAX
6.36144931015044e-08	-1.65119744279587	0.051	0.185	0.00126535588228202	TXNRD3
7.02306745759683e-08	-0.335036174250424	0.75	0.882	0.00139695834799059	STK10
7.1245503529584e-08	-1.52525220176766	0.023	0.133	0.00141714431070695	NKG7
8.21021273120321e-08	-1.45997046629745	0.045	0.175	0.00163309341436363	MATK
8.222630134246e-08	-0.844949171077081	0.081	0.232	0.00163556336000287	SLCO4C1
8.89948543112747e-08	-0.848314507652313	0.081	0.237	0.00177019664710556	LRFN2
9.53582792638756e-08	-0.851725746801102	0.164	0.346	0.00189677153283775	LRRC46
1.21325441002345e-07	-0.401237586635567	0.543	0.735	0.00241328434697765	VAV3
1.22706380666473e-07	0.953373461227614	0.391	0.194	0.00244075261783681	ISM1
1.2771520970514e-07	-1.115805421367	0.073	0.223	0.00254038323624494	IFNG
1.4624891895524e-07	-0.604871813383712	0.465	0.64	0.00290903724693867	APBA2
1.58380161702483e-07	-0.920333527865141	0.078	0.232	0.00315033979642408	GML
1.62688143961255e-07	-0.59264803947037	0.197	0.379	0.00323602987153333	ERGIC1
1.80717751145242e-07	-0.462359645973666	0.354	0.545	0.00359465678803	GFOD1
1.84056412601973e-07	-0.525948990512787	0.235	0.436	0.00366106610306585	PLXND1
2.22642863276816e-07	0.570528960083052	0.381	0.185	0.00442858919343915	ESR1
2.45761875297803e-07	-2.17341463928865	0.015	0.109	0.0048884494615486	TXNRD3NB
2.50461019027117e-07	-0.305611577571483	0.816	0.891	0.00498192012946838	CCDC88C
2.51148112427312e-07	-0.604541565581462	0.22	0.412	0.00499558710429167	KLHDC4
2.9583502263264e-07	-0.41392876160538	0.535	0.711	0.00588445443518585	CMIP
3.54933708320307e-07	0.594243414760246	0.409	0.209	0.00705998639219923	MFHAS1
3.59964756539559e-07	-0.556464734530553	0.268	0.441	0.00716005897232837	PRR5L
3.73255378879046e-07	-0.821769058788613	0.169	0.341	0.00742442274128311	MRPL10
4.16266690610558e-07	-0.569674264510998	0.394	0.597	0.0082799607429346	FSIP1
4.71011895097636e-07	-0.766581983492538	0.043	0.161	0.00936889760538709	CMKLR1
4.79562171340807e-07	0.67572944099512	0.482	0.299	0.00953897115014	TSHZ2
4.83745611671986e-07	0.335754073598487	0.674	0.536	0.00962218396176746	FAM13A
5.46943177194798e-07	-0.453997108883877	0.295	0.474	0.0108792467375817	ABR
5.70152518981775e-07	-0.84879005882912	0.03	0.137	0.0113409037550665	TTC38
5.94777334573847e-07	0.664818797607986	0.205	0.052	0.0118307159620084	KCNJ15
6.5136066321753e-07	0.930268335176914	0.351	0.171	0.0129562149520599	FBLN7
6.72924652698863e-07	-0.638380267460429	0.144	0.313	0.0133851442668331	ABI3
6.76856260769154e-07	-0.518403228319432	0.394	0.573	0.0134633478829592	FAM129A
7.11555894577662e-07	-0.563085535163467	0.427	0.616	0.0141535582990443	ARAP2
8.07396992993321e-07	-0.442540582499402	0.258	0.445	0.0160599335876301	ADAP1
8.44789298455751e-07	1.95290442045101	0.126	0.009	0.0168037039355834	FAM78B
8.65918518376265e-07	-0.755314509206765	0.116	0.275	0.0172239852490223	VPS16
8.67841937701198e-07	-0.757809216430772	0.081	0.223	0.0172622439828145	TSPAN32
8.69352882607929e-07	-1.7060086845358	0.02	0.114	0.0172922981879543	CLIC3
8.97257828477298e-07	-0.52716293222535	0.146	0.313	0.0178473554662419	JAKMIP2
1.0231288074861e-06	-0.90873479777572	0.106	0.256	0.0203510551097061	PRSS23
1.02909159462638e-06	-0.615039870365169	0.222	0.412	0.0204696609087134	PROSER1
1.03234956228938e-06	-0.27302998201738	0.934	0.962	0.0205344651434981	PRKCH
1.14646163179197e-06	-0.741760560778265	0.298	0.479	0.0228042683179741	MYL12A
1.17322448092461e-06	-0.600877608359268	0.25	0.431	0.0233366081500714	BRCA2
1.22086716791845e-06	-0.577203397815015	0.199	0.384	0.024284268837066	NHLRC3
1.40930826577904e-06	-0.346260376613986	0.798	0.877	0.028032550714611	CBLB
1.45322408759174e-06	-0.403873269536013	0.71	0.81	0.0289060803262874	SYTL3
1.5377266279576e-06	-0.983013840322956	0.035	0.142	0.0305869203567047	PTGDR
1.59027439368964e-06	0.828352939960761	0.326	0.147	0.0316321479648807	WNT7A
1.72011622765855e-06	-0.601433743573647	0.288	0.45	0.0342148318843562	NCOA1
1.72450883722379e-06	0.485084968329071	0.657	0.474	0.0343022052812184	PTPRN2
1.88303043742583e-06	-0.539517180271198	0.285	0.46	0.0374553584308371	BHLHE40
1.9208591534484e-06	-1.58325817911364	0.048	0.161	0.0382078094212422	PRSS3
1.93988565135211e-06	-0.277751081959555	0.611	0.787	0.0385862654910449	PRKCB
2.05707950629477e-06	-0.561283727761521	0.462	0.649	0.0409173684597093	SAMD3
2.07811252380465e-06	-0.360674408684843	0.268	0.45	0.0413357362109982	TMEM241
2.62991313480369e-06	-1.31367027614956	0.023	0.114	0.0523116021643801	P2RY11
2.83908828248537e-06	0.370166235825895	0.561	0.403	0.0564723050269164	ETV6
2.92208481432952e-06	-0.4877264963914	0.311	0.498	0.0581231890418284	ITGAE
3.38060733081505e-06	0.668238296420101	0.449	0.294	0.0672436604172422	ANKRD55
3.40209740058163e-06	-1.2369265047398	0.056	0.171	0.0676711193949692	NCR2
3.7843529348051e-06	-0.811159318473034	0.104	0.242	0.0752745642262082	ABCA4
3.92746994017658e-06	-0.539620198798582	0.101	0.237	0.0781213045800524	CPVL
4.02777617678489e-06	-0.331951660580176	0.601	0.739	0.0801164959324283	TRERF1
4.07118663957513e-06	-0.695106777018346	0.098	0.242	0.080979973447789	VIT
4.17356231619092e-06	-0.690000464560596	0.119	0.261	0.0830163280313535	TMEM132C
4.35132870354041e-06	-0.703219594632359	0.167	0.318	0.0865522792421223	ENC1
4.46757694316592e-06	-0.767459867486914	0.215	0.379	0.0888645729765132	D2HGDH
4.94373085194713e-06	-0.548321410100766	0.212	0.389	0.0983357503760804	LYAR
5.1135241847399e-06	-0.333776711400841	0.581	0.744	0.101713109558661	LCP2
5.49017243318415e-06	-0.700087919775643	0.306	0.479	0.109205019868466	YES1
5.68699115599146e-06	0.41610787456921	0.644	0.483	0.113119941083826	CRTC3
5.87924496489695e-06	-0.729215109285516	0.096	0.227	0.116944061596765	RCAN2
6.30539554075048e-06	0.350450874472789	0.765	0.559	0.125420622701068	LEF1
6.3063408599191e-06	-0.741864563853773	0.134	0.28	0.125439426044651	ADGRG1
6.42367283924468e-06	-1.29380524131544	0.025	0.114	0.127773276445416	GNLY
6.57454806780581e-06	0.498773127554075	0.677	0.521	0.130774335616725	EPHA4
6.57553795709233e-06	-0.557866086708979	0.311	0.483	0.130794025504523	CMC1
6.77194394756531e-06	0.36119793294983	0.48	0.303	0.134700737061021	PALM2-AKAP2
6.99528930325445e-06	-0.485265741595555	0.278	0.445	0.139143299531034	LMO4
7.05449889014599e-06	-0.456182166755384	0.172	0.322	0.140321037423894	LPCAT1
7.34045579370665e-06	0.568891433562244	0.513	0.322	0.146009006192619	CMTM8
7.47687018775279e-06	-0.627866919731598	0.116	0.261	0.148722424904591	GLB1L2
7.5134352836815e-06	-0.417704321865133	0.023	0.109	0.149449741227709	SCIMP
7.52391233724818e-06	0.377033373436594	0.818	0.749	0.149658140300204	KLF12
7.5368617609004e-06	0.686834522118515	0.384	0.209	0.14991571728607	KCNA2
7.70261001112689e-06	-0.655528332167521	0.106	0.246	0.153212615731325	ARHGEF28
7.9436514873602e-06	-0.436364399350468	0.121	0.261	0.158007171735082	CXXC5
8.03868611605341e-06	-0.340085282923149	0.323	0.498	0.159897505534418	SPIDR
8.72677302334179e-06	-0.508141785098618	0.247	0.412	0.173584242207292	MMP24-AS1
8.86495981858737e-06	0.453043649991675	0.725	0.564	0.176332915751521	DUSP16
8.9687219252643e-06	-0.390212494478287	0.106	0.242	0.178396847815432	FAM81A
9.89934712419044e-06	-1.00512132348991	0.043	0.142	0.196907913647272	PPP1R14C
9.91213061552765e-06	-0.602016538292671	0.058	0.166	0.197162190073461	DAB2IP
1.04978125223199e-05	0.274662728833449	0.79	0.635	0.208811988881466	SERINC5
1.09962616520742e-05	-0.513104362946641	0.313	0.488	0.218726640521408	SEC24C
1.15052289008299e-05	-0.400890007197595	0.621	0.744	0.228850508066407	MEX3C
1.17569552173454e-05	-0.495602680782289	0.303	0.474	0.233857596228217	MVB12B
1.21899887295503e-05	-0.405374898404272	0.652	0.768	0.242471065819485	AKNA
1.24717113890962e-05	-0.600880002100482	0.225	0.379	0.248074811240513	IL2RB
1.25925691954254e-05	-0.379241567254638	0.318	0.502	0.250478793866206	REL
1.30762368601196e-05	0.553851082070941	0.604	0.455	0.260099427384639	CD28
1.44639278362167e-05	-0.33206970465858	0.338	0.507	0.287701988590186	ITPK1
1.47356128665104e-05	-0.594617574597671	0.093	0.218	0.293106075527759	ADGRG5
1.51827925056985e-05	-1.25109796982372	0.033	0.123	0.302000925730849	PROK2
1.66295605565336e-05	-0.521274488286066	0.26	0.455	0.330778589030009	TIGIT
1.71710217705601e-05	-0.732749278324688	0.121	0.256	0.341548794038211	HOXC4
1.72565145209518e-05	-0.59006954242325	0.293	0.45	0.343249330336253	AVL9
1.73916169280241e-05	-0.660995631457377	0.316	0.488	0.345936652315327	ADAM22
1.77566802514064e-05	-0.600772931388189	0.265	0.422	0.353198126880725	ZBP1
1.80943987377849e-05	-0.463173368780038	0.341	0.498	0.35991568529328	IGF2R
1.82171477076363e-05	1.77243804588638	0.104	0.009	0.362357285052593	C1orf115
1.83701671535843e-05	-1.4603337130245	0.035	0.128	0.365400994851946	A1BG
1.88411518263325e-05	-0.481400457808365	0.207	0.36	0.37476935097758	ADRB2
2.00825056657102e-05	0.379110958692262	0.687	0.54	0.399461120196642	PRKCA
2.08328334332595e-05	0.991463176904154	0.245	0.104	0.414385889820964	TDRD12
2.09247190154447e-05	0.242857310651034	0.755	0.573	0.41621358593621	LDLRAD4
2.10133000349143e-05	0.431364462709569	0.644	0.488	0.417975550994481	WHSC1L1
2.10438755262172e-05	-0.452070675898055	0.104	0.232	0.418583728091985	PLEK
2.19182315838822e-05	-0.477902494273205	0.217	0.374	0.435975544435	CPA6
2.26114304875819e-05	0.168809256400818	0.288	0.133	0.449763963828491	PSD3
2.29500697657572e-05	-0.548256402225463	0.351	0.517	0.456499837710676	ARMC2
2.38826380089821e-05	-0.30410593988179	0.497	0.649	0.475049552636663	LITAF
2.39132279914597e-05	1.06604822947194	0.192	0.066	0.475658017978125	SH2D4A
2.40152544495736e-05	-0.403423493996765	0.467	0.611	0.477687426256468	KDM2B
2.55155849358641e-05	0.491505101115927	0.593	0.422	0.507530499959272	DPP4
2.64487542668015e-05	-0.512498693522097	0.174	0.318	0.526092171120949	PTGER2
2.68827860220898e-05	0.613161449089267	0.273	0.123	0.534725496765388	CDCP1
2.69048428608134e-05	-0.590574298973805	0.207	0.36	0.535164229344439	DGKQ
2.79107826273842e-05	-1.24094891547288	0.035	0.123	0.555173377241298	PLCH2
2.80021647064544e-05	-0.582686181194998	0.232	0.379	0.556991058176085	MAP2K2
2.87042773833183e-05	-0.437333964093248	0.326	0.507	0.570956781431584	SLC2A13
3.05640041423293e-05	-0.56883986321564	0.318	0.474	0.607948606395073	SLFN12L
3.16251407779405e-05	-0.30314051623792	0.376	0.545	0.629055675214015	COX19
3.16374304268257e-05	-0.461177374413499	0.237	0.412	0.629300128619989	KRTAP12-3
3.38577926323543e-05	-0.344638652034405	0.348	0.54	0.67346535325016	BARD1
3.58471810365944e-05	-0.821250649173055	0.096	0.218	0.713036277998899	CX3CR1
3.65975129614295e-05	0.849166057353241	0.227	0.095	0.727961130315795	AKR1E2
3.81871881704099e-05	0.332037894007534	0.831	0.773	0.759581359897623	ADK
3.83275868764235e-05	0.439257267170014	0.636	0.502	0.76237403055894	MALT1
3.92022562210217e-05	0.421145152319312	0.482	0.318	0.779772078492343	DAPP1
3.96517967012038e-05	-0.553163267518922	0.247	0.408	0.788713888183645	GYG1
4.01537113676949e-05	-0.537906569163455	0.217	0.351	0.798697472814819	HEXB
4.0182189713213e-05	0.446827237515355	0.404	0.237	0.799263935585519	SARDH
4.04380250199123e-05	-0.234774799311792	0.783	0.919	0.804352755671076	ST3GAL1
4.11631851017222e-05	-0.462297041909956	0.222	0.379	0.818776914858356	ATP10D
4.13523892833018e-05	0.382232572610107	0.424	0.265	0.822540375234157	AIG1
4.33919301571498e-05	0.371253054442574	0.563	0.393	0.863108882755866	GNAQ
4.34676657180022e-05	-0.834225465308053	0.081	0.194	0.864615338796783	PDZK1
4.53578357185044e-05	-0.88377917152157	0.048	0.142	0.902212710276771	COLQ
4.56055857958555e-05	-0.574771694338011	0.273	0.422	0.907140707065362	JMJD6
4.60757140644905e-05	0.370188792001988	0.657	0.474	0.91649202845678	IL7R
4.64495750935309e-05	0.333999633133709	0.732	0.602	0.923928498185424	EEPD1
5.22931985701379e-05	0.231499504803246	0.932	0.9	1	HIVEP2
5.3097098673916e-05	0.901117372795304	0.202	0.076	1	TPO
5.44771573688007e-05	-0.383782905257748	0.616	0.739	1	CCSER2
5.60859760597451e-05	-0.374596083144962	0.525	0.692	1	PPP1R16B
5.67198135454492e-05	-0.296208234115618	0.551	0.711	1	ATP8A1
5.71700825257933e-05	0.512968441248153	0.518	0.379	1	RGMB
5.82356001939158e-05	0.645884120602113	0.323	0.175	1	SUSD4
5.87404645658121e-05	-1.07705331060371	0.111	0.237	1	ZFR2
5.95109802199031e-05	0.560522167500404	0.298	0.156	1	CALD1
5.95337200613912e-05	-0.375811581667473	0.467	0.616	1	SLC16A7
5.978984762556e-05	-0.230128064262157	0.636	0.716	1	NFATC2
6.10579647840168e-05	-0.797190846299333	0.04	0.128	1	DBN1
6.23832740250619e-05	-0.414124460624858	0.374	0.526	1	PRRC2B
6.50300866318691e-05	-0.798791764871584	0.096	0.204	1	CELSR1
6.54633051398555e-05	0.427300469350531	0.515	0.37	1	PTPRO
6.59005522474691e-05	0.505439481339997	0.508	0.346	1	RBM20
6.6653212004102e-05	-0.414407042716398	0.29	0.441	1	MAPK1
6.75117919550654e-05	0.370752133831631	0.614	0.445	1	KLF7
6.80872531837905e-05	-0.402784523449154	0.386	0.564	1	TBC1D19
7.00115829577841e-05	0.499565672743112	0.369	0.223	1	PCBP3
7.09221384895025e-05	-0.962031980601262	0.04	0.128	1	ZNF541
7.17482018272501e-05	0.42328868200691	0.571	0.474	1	PLB1
7.26440138715849e-05	0.417769265260199	0.429	0.299	1	NR1H2
7.36690637140414e-05	-0.383693679828932	0.386	0.545	1	NHSL2
7.88277851931414e-05	-0.486472167245227	0.21	0.365	1	CGRRF1
7.97340475913325e-05	-0.437190416082776	0.237	0.384	1	DCUN1D5
7.97588420731281e-05	-0.375896863387911	0.432	0.616	1	ACOXL
7.98853749498854e-05	-0.414146717010702	0.225	0.379	1	CD244
8.29304775299314e-05	-0.499839251868454	0.341	0.493	1	PRR5
8.56660000895404e-05	-0.271578617779071	0.429	0.578	1	ANKUB1
8.68862443964119e-05	-0.233121704317574	0.149	0.28	1	ARHGEF4
8.91469924511425e-05	-0.653533954262247	0.131	0.261	1	NUGGC
9.13037107511682e-05	-0.421136173589563	0.29	0.445	1	BFSP1
9.21799833636506e-05	1.17831425712732	0.172	0.062	1	CD200
9.23416718641307e-05	-0.41150839415781	0.139	0.27	1	SLC2A8
9.3281983267621e-05	-0.336070358636964	0.72	0.848	1	STAT4
9.45521213000456e-05	-0.590197305038945	0.222	0.365	1	RBM12
9.58471262051829e-05	-0.385419269564005	0.439	0.616	1	FAM179A
0.000105570347406682	0.739507408247399	0.321	0.175	1	ESPN
0.000106125424922436	0.928802396035418	0.114	0.024	1	CERS3
0.000106311742993981	-0.615073342434551	0.212	0.355	1	ZAR1L
0.000110678804748654	0.520747116178248	0.414	0.28	1	IL6R
0.000116263252269992	-0.764740591443239	0.177	0.303	1	ABHD17A
0.000116263982367443	-0.459026767840396	0.129	0.256	1	GPR137B
0.000116609444213824	0.0633738477127883	0.136	0.038	1	CA10
0.00011838920472791	-0.710614659831636	0.04	0.123	1	ASCL2
0.000124349118845802	0.518283516845402	0.265	0.133	1	CCR6
0.000125096504899632	-0.550625786333121	0.24	0.384	1	RP1-309K20.6
0.00012553255807154	-0.528147366381504	0.298	0.46	1	KRAS
0.000128176503959158	-1.21718131837319	0.038	0.118	1	B3GAT1
0.000129811082997292	0.447733279137894	0.414	0.28	1	RP11-439C15.6
0.000131276407784937	-1.22833864365113	0.056	0.147	1	LAG3
0.00013169396035054	0.622942603326116	0.217	0.09	1	TMIGD1
0.000131894253674294	0.246596554889705	0.833	0.768	1	ARID5B
0.000133961171424742	0.39452025979182	0.629	0.488	1	KAT7
0.000136977923288232	-0.907571626235113	0.045	0.133	1	ENPP5
0.000139722183791684	0.830055444562046	0.235	0.114	1	GADD45G
0.00014005737606278	-1.22866341058402	0.033	0.109	1	ARL5C
0.00014005737606278	-1.18289629430429	0.033	0.109	1	MPP4
0.000141927770606958	-0.436107559908761	0.46	0.578	1	RGS3
0.000144105882923395	-0.442115729611506	0.247	0.398	1	FUS
0.000146897019096183	-0.191754890718014	0.783	0.844	1	TLE4
0.000152050295444041	-0.177973570639174	0.242	0.393	1	RHOQ
0.000152829130384106	-1.00489623124699	0.038	0.118	1	KRT74
0.000156018522707888	0.341872672044573	0.384	0.251	1	CDK14
0.000168779816252434	-0.504814778902217	0.086	0.19	1	SLC17A9
0.000176438909698204	0.385617223449178	0.604	0.469	1	TPCN1
0.000176785134698383	-0.276856406199173	0.662	0.768	1	FLI1
0.000180455279997548	-0.501947189338518	0.364	0.536	1	TSPEAR
0.00018197830043088	0.537808363971901	0.184	0.076	1	EPB41L3
0.00018199179499107	-0.46543514431861	0.371	0.517	1	ATR
0.00018208048419176	0.54781354821415	0.452	0.318	1	MFGE8
0.000185864504994319	-0.366375925253154	0.49	0.616	1	CTIF
0.000185953446844496	0.436998230762171	0.492	0.355	1	RTKN2
0.000193150542134292	-0.371275269060479	0.429	0.573	1	PPP2R5E
0.000195429553198913	0.507484780639063	0.283	0.147	1	HOOK1
0.000195684631202878	-0.380698230029432	0.533	0.687	1	NLRC5
0.000202386384680912	0.449987892612473	0.487	0.365	1	CUTA
0.000202543113644183	0.341192642565432	0.571	0.427	1	HIPK2
0.000203164783300306	0.876800301726557	0.27	0.147	1	ZNF563
0.000204901633466142	-0.319238063056502	0.581	0.673	1	ZNF365
0.000205547359453302	-0.424720054811758	0.235	0.37	1	ACOX3
0.000207010512084271	0.474473389029844	0.548	0.427	1	RP11-514O12.4
0.00020843186857584	-0.445067493120399	0.177	0.303	1	LIMK1
0.000209903672049829	-0.608463443454903	0.076	0.175	1	C11orf21
0.000221225259448173	-0.282360109074404	0.366	0.507	1	RNF13
0.000222294904907709	-0.562650861487038	0.119	0.232	1	PAOX
0.000226910988060249	-0.687368688306999	0.088	0.19	1	ATP6V0E2
0.000232973311957618	-0.468084812223065	0.179	0.318	1	AKR1B1
0.000237810096260601	0.793629627315168	0.255	0.137	1	CACNA1I
0.000239004774636902	-0.590601335451883	0.045	0.128	1	SEMA7A
0.000241102146776989	-0.620629697879602	0.091	0.194	1	BMP1
0.000241211836598438	-0.499269811261702	0.222	0.351	1	AC073610.5
0.000247611201586741	-0.358587641497977	0.106	0.218	1	CCR3
0.00024976287213545	-0.401456852542329	0.359	0.488	1	VWA8
0.000252643426892472	0.337428137772449	0.439	0.308	1	PIP5K1B
0.000254616387852783	-0.642299025969588	0.146	0.261	1	AGAP1
0.000259481761915913	-0.345854233740189	0.528	0.64	1	PTPN4
0.00026030676452676	-0.422421177832965	0.273	0.408	1	C12orf75
0.000264284801727145	0.550550349986792	0.172	0.066	1	ANKFN1
0.000267296673674983	0.638568731540701	0.308	0.185	1	JOSD2
0.000274407507344969	0.505736701510925	0.51	0.37	1	KIAA0355
